type,dust,wr,games,duration,card_0,card_1,card_2,card_3,card_4,card_5,card_6,card_7,card_8,card_9,card_10,card_11,card_12,card_13,card_14,card_15,card_16,card_17,card_18,card_19,card_20,card_21,card_22,card_23,card_24,card_25,card_26,card_27,card_28,card_29,wins,hero
Galakrond Warrior,6440,0.5579999999999999,2000,6.8,Inner Rage,Eternium Rover,Town Crier,Battle Rage,Cruel Taskmaster,Ritual Chopper,Temple Berserker,Awaken!,Bloodsworn Mercenary,Bomb Wrangler,Devoted Maniac,Kor'kron Elite,Scion of Ruin,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Unbreakable",,,,,,,,,,,,,,,1115.9999999999998,Warrior
Galakrond Rogue,12260,0.5579999999999999,1300,8.7,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,725.4,Rogue
Quest Resurrect Priest,11800,0.5579999999999999,7600,9.9,Forbidden Words,Activate the Obelisk,Penance,Bad Luck Albatross,Shadow Word: Death,Vivid Nightmare,Archmage Vargoth,Grave Rune,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,4240.799999999999,Priest
Resurrect Priest,10840,0.5579999999999999,3400,10.8,Forbidden Words,Embalming Ritual,Penance,Bad Luck Albatross,Breath of the Infinite,Shadow Word: Death,Grave Rune,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Kronx Dragonhoof,"Galakrond, the Unspeakable",Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,1897.1999999999998,Priest
Galakrond Warrior,8200,0.5579999999999999,12000,6.9,Inner Rage,Eternium Rover,Town Crier,Battle Rage,Cruel Taskmaster,Ritual Chopper,Temple Berserker,Awaken!,Bloodsworn Mercenary,Frothing Berserker,Devoted Maniac,Kor'kron Elite,Scion of Ruin,Leeroy Jenkins,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Unbreakable",,,,,,,,,,,,,,6695.999999999999,Warrior
Embiggen Druid,8220,0.5579999999999999,3200,6.8,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,1785.6,Druid
Quest Druid,10560,0.5579999999999999,4000,9.2,Innervate,Untapped Potential,Worthy Expedition,Crystal Merchant,Power of the Wild,Rising Winds,Wrath,Ferocious Howl,Wardruid Loti,Flobbidinous Floop,Swipe,Anubisath Defender,Oasis Surger,Starfall,Hidden Oasis,Nourish,"Ysera, Unleashed",King Phaoris,,,,,,,,,,,,,2231.9999999999995,Druid
Highlander Galakrond Rogue,17140,0.5579999999999999,1200,9.1,Backstab,Shadowstep,Bloodsail Flybooter,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Bad Luck Albatross,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,Bone Wraith,Devoted Maniac,Hench-Clan Burglar,Vendetta,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,669.5999999999999,Rogue
Embiggen Druid,8180,0.557,1000,6.7,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,557.0,Druid
Embiggen Druid,9080,0.557,30000,7.4,Embiggen,Strength in Numbers,Breath of Dreams,Crystal Merchant,Injured Tol'vir,SN1P-SN4P,Witching Hour,Archmage Vargoth,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Witchwood Grizzly,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,16710.0,Druid
Embiggen Druid,5120,0.557,1000,6.5,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,Dragonmaw Poacher,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,,557.0,Druid
Embiggen Druid,8240,0.557,1200,6.6,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,SN1P-SN4P,Witching Hour,Dragonmaw Poacher,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,668.4000000000001,Druid
Mech Paladin,7600,0.557,6800,5.9,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Righteous Cause,Air Raid,Galvanizer,Micro Mummy,Sky Claw,SN1P-SN4P,Annoy-o-Module,Explodinator,Replicating Menace,Leeroy Jenkins,Wargear,Zilliax,Sea Giant,,,,,,,,,,,,,,3787.6000000000004,Paladin
Galakrond Rogue,13760,0.557,130000,8.9,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,72410.0,Rogue
Embiggen Druid,8260,0.557,8000,6.5,Embiggen,Strength in Numbers,Breath of Dreams,Savage Roar,SN1P-SN4P,Witching Hour,Bone Wraith,Dragonmaw Poacher,Evasive Feywing,Frizz Kindleroost,Spellbreaker,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,4456.0,Druid
Combo Priest,5220,0.557,1000,5.8,Circle of Healing,Silence,Beaming Sidekick,Inner Fire,Lightwarden,Northshire Cleric,Potion Vendor,Power Word: Shield,Divine Spirit,Injured Tol'vir,Neferset Ritualist,Wild Pyromancer,Acolyte of Pain,Extra Arms,Magic Carpet,High Priest Amet,Mass Dispel,Witchwood Grizzly,"Bwonsamdi, the Dead",,,,,,,,,,,,557.0,Priest
Pure Paladin,6200,0.556,3100,7.8,Crystology,Glow-Tron,Righteous Cause,Argent Protector,Crystalsmith Kangor,Micro Mummy,Sandwasp Queen,Subdue,Bronze Explorer,Sky Claw,Blessing of Kings,Consecration,Lightforged Zealot,Pharaoh's Blessing,Lightforged Crusader,Tirion Fordring,,,,,,,,,,,,,,,1723.6000000000001,Paladin
Highlander Galakrond Rogue,18640,0.556,57000,9.0,Backstab,Shadowstep,Bloodsail Flybooter,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Bad Luck Albatross,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Bone Wraith,Devoted Maniac,Hench-Clan Burglar,Vendetta,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,31692.000000000004,Rogue
Pirate Warrior,7380,0.556,2700,6.2,Sky Raider,Southsea Deckhand,Town Crier,Upgrade!,Bloodsail Raider,Heroic Strike,Parachute Brigand,Ancharrr,Livewire Lance,Skybarge,Dread Corsair,Hoard Pillager,Kor'kron Elite,Restless Mummy,Arcanite Reaper,Captain Greenskin,Leeroy Jenkins,,,,,,,,,,,,,,1501.2,Warrior
Galakrond Warrior,8000,0.556,12000,7.1,Inner Rage,Eternium Rover,Town Crier,Battle Rage,Cruel Taskmaster,Ritual Chopper,Temple Berserker,Awaken!,Bloodsworn Mercenary,Bomb Wrangler,SN1P-SN4P,Devoted Maniac,Kor'kron Elite,Scion of Ruin,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Unbreakable",,,,,,,,,,,,,,6672.000000000001,Warrior
Galakrond Rogue,17140,0.556,1100,9.8,Backstab,Shadowstep,Bloodsail Flybooter,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Bone Wraith,Devoted Maniac,Hench-Clan Burglar,Spirit of the Shark,Vendetta,Faceless Corruptor,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,611.6,Rogue
Embiggen Druid,6320,0.556,2100,7.4,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,1167.6000000000001,Druid
Face Hunter,3480,0.556,1600,5.3,Arcane Shot,Blazing Battlemage,Dwarven Sharpshooter,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Kobold Sandtrooper,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,,889.6000000000001,Hunter
Face Hunter,3600,0.556,6600,5.8,Arcane Shot,Dwarven Sharpshooter,Rapid Fire,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Misdirection,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,,3669.6000000000004,Hunter
Embiggen Druid,5420,0.556,1100,7.2,Embiggen,Strength in Numbers,Breath of Dreams,Crystal Merchant,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Archmage Vargoth,Evasive Feywing,Swipe,Big Ol' Whelp,Oasis Surger,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,611.6,Druid
Galakrond Rogue,10760,0.556,3000,9.0,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,Devoted Maniac,Lifedrinker,Leeroy Jenkins,Shield of Galakrond,Zilliax,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,,1668.0000000000002,Rogue
Galakrond Warrior,9560,0.556,1800,7.0,Inner Rage,Eternium Rover,Town Crier,Battle Rage,Ritual Chopper,Temple Berserker,Awaken!,Bloodsworn Mercenary,Bomb Wrangler,SN1P-SN4P,Devoted Maniac,Kor'kron Elite,Scion of Ruin,Leeroy Jenkins,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Unbreakable",,,,,,,,,,,,,,1000.8000000000001,Warrior
Galakrond Warrior,8120,0.556,1200,6.6,Inner Rage,Eternium Rover,Town Crier,Cruel Taskmaster,Ritual Chopper,Temple Berserker,Awaken!,Bloodsworn Mercenary,Bomb Wrangler,Frothing Berserker,Devoted Maniac,Kor'kron Elite,Scion of Ruin,Leeroy Jenkins,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Unbreakable",,,,,,,,,,,,,,667.2,Warrior
Quest Highlander Hunter,19340,0.556,1200,7.4,Clear the Way,Springpaw,Tracking,Unseal the Vault,Hench-Clan Hogsteed,Licensed Adventurer,Phase Stalker,Questing Explorer,Rat Trap,Revenge of the Wild,Scavenging Hyena,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,SN1P-SN4P,Unleash the Hounds,Bone Wraith,Sky Gen'ral Kragg,Faceless Corruptor,"Halazzi, the Lynx",Leeroy Jenkins,Zilliax,Swarm of Locusts,Veranus,Boommaster Flark,Dinotamer Brann,Shu'ma,Dragonqueen Alexstrasza,667.2,Hunter
Galakrond Rogue,12260,0.556,1500,8.4,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,Devoted Maniac,Lifedrinker,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,834.0000000000001,Rogue
Galakrond Rogue,12260,0.555,1200,9.1,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,Devoted Maniac,Lifedrinker,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,666.0000000000001,Rogue
Face Hunter,2600,0.555,4600,5.5,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Rapid Fire,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Phase Stalker,Snake Trap,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,,,,,,,,,,,,,,,,2553.0,Hunter
Token Druid,1880,0.555,2600,6.8,Acornbearer,Treenforcements,Dendrologist,Dreamway Guardians,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Swipe,Aeroponics,Overflow,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,1443.0000000000002,Druid
Galakrond Rogue,13760,0.555,6400,8.7,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Lifedrinker,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,3552.0000000000005,Rogue
Dragon Druid,6960,0.555,2000,8.4,Embiggen,Acornbearer,Strength in Numbers,Breath of Dreams,Crystal Merchant,Firetree Witchdoctor,BEEEES!!!,Scalerider,Scaleworm,Big Ol' Whelp,Faceless Corruptor,Zilliax,Emerald Explorer,Evasive Wyrm,Crowd Roaster,"Ysera, Unleashed",,,,,,,,,,,,,,,1110.0,Druid
Galakrond Rogue,10760,0.555,32000,8.6,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,Devoted Maniac,Lifedrinker,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,17760.0,Rogue
Combo Priest,5340,0.555,1100,6.5,Circle of Healing,Beaming Sidekick,Hot Air Balloon,Inner Fire,Lightwarden,Northshire Cleric,Power Word: Shield,Divine Spirit,Holy Ripple,Injured Tol'vir,Neferset Ritualist,Acolyte of Pain,Extra Arms,Injured Blademaster,High Priest Amet,Psychopomp,"Bwonsamdi, the Dead",,,,,,,,,,,,,,610.5,Priest
Embiggen Druid,6620,0.555,1100,6.6,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,Dragonmaw Poacher,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,610.5,Druid
Embiggen Druid,8180,0.555,8800,6.6,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,4884.0,Druid
Murloc Paladin,12040,0.555,1900,5.9,Grimscale Oracle,Murloc Tidecaller,Murmy,Toxfin,Bluegill Warrior,Fishflinger,Sir Finley of the Sands,Zephrys the Great,Coldlight Seer,Murloc Warleader,Nightmare Amalgam,Murloc Tastyfin,Prismatic Lens,Truesilver Champion,Leeroy Jenkins,Chef Nomi,Tip the Scales,Dragonqueen Alexstrasza,,,,,,,,,,,,,1054.5,Paladin
Galakrond Rogue,12260,0.5539999999999999,1700,8.9,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,Devoted Maniac,Lifedrinker,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,941.7999999999998,Rogue
Embiggen Druid,8240,0.5539999999999999,34000,6.8,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,SN1P-SN4P,Dragonmaw Poacher,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,"Ysera, Unleashed",,,,,,,,,,,,,,18835.999999999996,Druid
Quest Highlander Hunter,17920,0.5539999999999999,1600,7.6,Springpaw,Tracking,Unseal the Vault,Corrosive Breath,Licensed Adventurer,Phase Stalker,Questing Explorer,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Primordial Explorer,Scalerider,SN1P-SN4P,Stormhammer,Unleash the Hounds,Bone Wraith,Evasive Feywing,Sky Gen'ral Kragg,"Halazzi, the Lynx",Leeroy Jenkins,Rotnest Drake,Zilliax,Swarm of Locusts,Veranus,Dinotamer Brann,Shu'ma,Dragonqueen Alexstrasza,886.3999999999999,Hunter
Hunter,3360,0.5539999999999999,1000,6.6,Clear the Way,Springpaw,Fresh Scent,Hunting Mastiff,Phase Stalker,Rat Trap,Scavenging Hyena,Snake Trap,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Master's Call,Unleash the Hounds,Hyena Alpha,Lifedrinker,,,,,,,,,,,,,,,553.9999999999999,Hunter
Galakrond Zoo Warlock,4240,0.5539999999999999,1000,7.1,Beaming Sidekick,Blazing Battlemage,Flame Imp,Grim Rally,Voidwalker,EVIL Genius,Knife Juggler,Scarab Egg,Dragonblight Cultist,Devoted Maniac,Fiendish Rites,Veiled Worshipper,Faceless Corruptor,Shield of Galakrond,"Galakrond, the Wretched",Sea Giant,,,,,,,,,,,,,,,553.9999999999999,Warlock
Highlander Galakrond Rogue,18640,0.5539999999999999,5600,9.1,Backstab,Shadowstep,Bloodsail Flybooter,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Bone Wraith,Devoted Maniac,Hench-Clan Burglar,Vendetta,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,3102.3999999999996,Rogue
Highlander Warrior,18280,0.5539999999999999,6200,12.8,Eternium Rover,Shield Slam,Town Crier,Whirlwind,Frightened Flunky,Warpath,Weapons Project,Zephrys the Great,EVIL Quartermaster,Livewire Lance,Shield Block,SN1P-SN4P,Vulpera Scoundrel,Molten Breath,Omega Devastator,Restless Mummy,Big Game Hunter,Brawl,Dragonmaw Scorcher,Dyn-o-matic,Emberscale Drake,Harrison Jones,Plague of Wrath,Supercollider,Zilliax,The Black Knight,Siamat,"Deathwing, Mad Aspect","Dr. Boom, Mad Genius",Dragonqueen Alexstrasza,3434.7999999999997,Warrior
Mech Paladin,7240,0.5539999999999999,4800,5.9,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Righteous Cause,Air Raid,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Explodinator,Replicating Menace,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,2659.2,Paladin
Highlander Galakrond Rogue,18820,0.5539999999999999,1300,9.4,Backstab,Shadowstep,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Bad Luck Albatross,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Bone Wraith,Devoted Maniac,Dragonmaw Poacher,Spirit of the Shark,Vendetta,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,720.1999999999999,Rogue
Face Hunter,3840,0.5539999999999999,1400,5.4,Arcane Shot,Blazing Battlemage,Dwarven Sharpshooter,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Kobold Sandtrooper,Phase Stalker,Snake Trap,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,775.5999999999999,Hunter
Galakrond Zoo Warlock,6160,0.5539999999999999,46000,6.8,Beaming Sidekick,Blazing Battlemage,Flame Imp,Grim Rally,Voidwalker,EVIL Genius,Knife Juggler,Scarab Egg,Dragonblight Cultist,Fiendish Rites,Veiled Worshipper,Faceless Corruptor,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Wretched",Sea Giant,,,,,,,,,,,,,,,25483.999999999996,Warlock
Galakrond Rogue,10760,0.5539999999999999,1900,8.7,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,Devoted Maniac,Dragonmaw Poacher,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,,1052.6,Rogue
Quest Resurrect Priest,15000,0.5539999999999999,3800,9.5,Activate the Obelisk,Penance,Wyrmrest Purifier,Breath of the Infinite,Archmage Vargoth,Grave Rune,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Murozond the Infinite,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,"Hakkar, the Soulflayer",,,,,,,,,,,2105.2,Priest
Quest Hunter,10960,0.5539999999999999,3200,7.8,Clear the Way,Springpaw,Tracking,Unseal the Vault,Hench-Clan Hogsteed,Licensed Adventurer,Questing Explorer,Desert Spear,Diving Gryphon,SN1P-SN4P,Unleash the Hounds,Bone Wraith,Sky Gen'ral Kragg,Faceless Corruptor,Leeroy Jenkins,Zilliax,Swarm of Locusts,Veranus,Boommaster Flark,,,,,,,,,,,,1772.7999999999997,Hunter
Galakrond Rogue,9260,0.5539999999999999,2000,8.8,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,Devoted Maniac,Lifedrinker,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,,1107.9999999999998,Rogue
Secret Highlander Hunter,14800,0.5539999999999999,1500,7.9,Dwarven Sharpshooter,Secretkeeper,Springpaw,Explosive Trap,Freezing Trap,Phase Stalker,Rat Trap,Snake Trap,Snipe,Zephrys the Great,Animal Companion,Bad Luck Albatross,Deadly Shot,Desert Spear,Diving Gryphon,Eaglehorn Bow,Kill Command,SN1P-SN4P,Unleash the Hounds,Ursatron,Hyena Alpha,Marked Shot,Faceless Corruptor,Zilliax,Unleash the Beast,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,Zul'jin,830.9999999999999,Hunter
Galakrond Rogue,12060,0.5529999999999999,1800,8.4,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Skyvateer,Edwin VanCleef,EVIL Miscreant,Seal Fate,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,995.3999999999999,Rogue
Combo Priest,5340,0.5529999999999999,8900,6.0,Circle of Healing,Silence,Topsy Turvy,Beaming Sidekick,Inner Fire,Lightwarden,Northshire Cleric,Power Word: Shield,Divine Spirit,Injured Tol'vir,Neferset Ritualist,Wild Pyromancer,Acolyte of Pain,Extra Arms,Injured Blademaster,High Priest Amet,Psychopomp,"Bwonsamdi, the Dead",,,,,,,,,,,,,4921.7,Priest
Quest Druid,10520,0.5529999999999999,5000,8.8,Innervate,Untapped Potential,Crystal Merchant,Power of the Wild,Rising Winds,Wrath,Ferocious Howl,Wardruid Loti,Flobbidinous Floop,Sky Gen'ral Kragg,Swipe,Anubisath Defender,Oasis Surger,Starfall,Hidden Oasis,Nourish,Cenarius,"Ysera, Unleashed",,,,,,,,,,,,,2764.9999999999995,Druid
Face Hunter,3520,0.5529999999999999,2100,5.5,Arcane Shot,Blazing Battlemage,Dwarven Sharpshooter,Leper Gnome,Rapid Fire,Toxic Reinforcements,Tracking,Explosive Trap,Kobold Sandtrooper,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,,1161.3,Hunter
Embiggen Druid,6620,0.5529999999999999,3700,6.5,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Dragonmaw Poacher,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,2046.0999999999997,Druid
Embiggen Druid,8120,0.5529999999999999,2200,6.7,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Scalerider,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Evasive Drakonid,Winged Guardian,"Ysera, Unleashed",,,,,,,,,,,,,,1216.6,Druid
Galakrond Zoo Warlock,3300,0.5529999999999999,5100,7.4,Beaming Sidekick,Blazing Battlemage,Flame Imp,Grim Rally,Mecharoo,Plague of Flames,EVIL Genius,Knife Juggler,Scarab Egg,Serpent Egg,Dragonblight Cultist,Devoted Maniac,Fiendish Rites,Faceless Corruptor,Shield of Galakrond,"Galakrond, the Wretched",,,,,,,,,,,,,,,2820.2999999999997,Warlock
